playerID,name,rating,gamesWon,gamesPlayed,winPercentage
2014,"Tsuna",1010,2,4,40
105,"ADCTaco",1010,58,114,50
1032,"smellylemon",1010,3,7,38
1036,"vinistriker22",1009,2,4,40
2011,"noobhero21",1009,2,4,40
2540,"kendebook",1009,2,5,33
2434,"8Z",1008,2,4,40
830,"NiceMice",1008,2,4,40
632,"bigbrein",1007,3,6,43
1850,"HolyChris",1007,1,2,33
2369,"Kekfont",1006,1,2,67
766,"Thelastdance",1006,2,4,40
2220,"Tyronetheduck1",1005,2,4,40
1851,"WhiteClaw",1005,1,2,33
117,"Piptro",1005,1,2,33
1466,"Bobboose_fun",1005,4,8,44
2414,"Joklow",1005,2,4,40
2020,"Penutbroski",1005,2,4,40
444,"Axolotl",1004,2,4,40
591,"Neccc",1004,1,2,33
508,"Cookiesnc",1004,40,76,52
685,"Darkstar",1004,18,44,40
2354,"billy idol",1004,2,6,29
217,"steeleater",1004,1,2,33
2082,"Lexicon",1002,2,4,40
1124,"Salvatore",1002,2,4,40
1435,"Mac457",1001,5,10,45
1,"Big Tier",1001,2,4,40
1188,"vader",1001,4,8,44
752,"ThunderBear",1000,4,7,63
4,"Kyezzer Aojera",1000,2,4,40
6,"len",1000,2,4,40
15,"devils",1000,1,2,33
18,"Steven4547466",1000,2,4,40
27,"GrimmShane",1000,3,6,43
30,"goshawksonlyfly",1000,2,4,40
97,"Vecho",1000,1,2,33
98,"DISSIDIA",1000,1,2,33
99,"Shrimp",1000,1,2,33
101,"Funyarinpa",1000,1,2,33
103,"ItsMiikii",1000,1,2,33
107,"Ponper",1000,1,2,33
113,"Gamer01",1000,1,2,33
114,"Fritos",1000,1,2,33
118,"Kona",1000,2,4,40
218,"catsoop",1000,1,2,33
219,"JUNK LION",1000,1,2,33
220,"Supergreen",1000,1,2,33
221,"Crow",1000,1,2,33
229,"Bruher",1000,1,2,33
230,"Iceswing",1000,1,2,33
236,"Lucas9w9",1000,1,2,33
237,"JazzyTheNinja",1000,1,2,33
352,"Briarlight",1000,2,4,40
381,"Orbitaz",1000,1,2,33
467,"Draco",1000,2,4,40
482,"codaah",1000,1,2,33
483,"Thomased22",1000,1,2,33
493,"Crumceral",1000,1,2,33
539,"Colossal E#2924",1000,1,2,33
576,"Kebikyu",1000,2,4,40
592,"TheBermanGrit",1000,1,2,33
636,"Spikefire",1000,1,2,33
637,"DillonDaGoblin",1000,2,4,40
654,"CorbinADtor",1000,1,2,33
693,"Sidjfnfdjsis",1000,1,2,33
816,"twored",1000,2,4,40
818,"DARK_KONG",1000,2,4,40
871,"Doan",1000,1,2,33
872,"Lax",1000,1,2,33
877,"iSoar",1000,1,2,33
913,"Habaduba",1000,1,2,33
979,"Tasc",1000,1,2,33
1145,"wheatloaf",1000,2,4,40
1147,"Hiro Sui",1000,1,2,33
1174,"Bakamoto",1000,2,4,40
1213,"Azrael",1000,3,6,43
1335,"Azu",1000,1,2,33
1340,"Gibblechibs",1000,1,2,33
1345,"FreemDeem",1000,1,2,33
1349,"Macc",1000,1,2,33
1356,"JEMorder",1000,1,2,33
1357,"DemonTower",1000,1,2,33
1360,"Bendy",1000,1,2,33
1366,"UltraFox",1000,1,2,33
1367,"Skellish69",1000,1,2,33
1373,"KIZBEE",1000,1,2,33
1375,"TheHekler",1000,1,2,33
1378,"SOMEONE",1000,1,2,33
1379,"Snoopy",1000,1,2,33
1382,"Some Child",1000,1,2,33
1391,"JetstreamMan",1000,1,2,33
1393,"BLUE",1000,1,2,33
1396,"Padex",1000,1,2,33
1397,"Hasherino",1000,1,2,33
1398,"Malikriku",1000,1,2,33
1399,"Warcrime Advocate",1000,1,2,33
1404,"Ultra Brickstinct",1000,1,2,33
1405,"Hex :3",1000,1,2,33
1413,"NotMe",1000,1,2,33
1416,"Blocker476",1000,1,2,33
1418,"Faero",1000,1,2,33
1421,"toastedyoshi",1000,1,2,33
1423,"ShadeMade",1000,1,2,33
1424,"bigmanharrison",1000,1,2,33
1431,"Typals",1000,1,2,33
1432,"Merfin",1000,1,2,33
1433,"Snibot2",1000,1,2,33
1436,"Voldermancer",1000,1,2,33
1439,"Divinefuture",1000,1,2,33
1443,"Meatsoup",1000,1,2,33
1448,"Random Spy Main",1000,1,2,33
1449,"Rag",1000,1,2,33
1452,"Sir_Leoth",1000,1,2,33
1455,"Deadpool78148",1000,1,2,33
1457,"Obliviouspotato",1000,1,2,33
1463,"DeeTwoo",1000,1,2,33
1467,"Kalpy",1000,1,2,33
1468,"VioletRose",1000,1,2,33
1470,"YukiTheSuccubus",1000,2,4,40
1471,"wasian01",1000,1,2,33
1840,"Danimineiro",1000,1,2,33
1844,"byzantine",1000,1,2,33
1848,"Carl",1000,1,2,33
1854,"krsntaap",1000,1,2,33
1855,"MystrMurasame",1000,1,2,33
1862,"gOLDEN",1000,1,2,33
1863,"Lerche",1000,2,4,40
1867,"humanbeing99",1000,1,2,33
1935,"Finkinusty",1000,2,4,40
1997,"Knopf99",1000,2,4,40
2015,"ChadicusVonRadicus",1000,2,4,40
2023,"Watogg",1000,2,4,40
2148,"Firecracker",1000,1,2,67
2182,"J.",1000,1,2,67
2396,"curlyrenouncedjailhouse",1000,2,4,40
2415,"zazertyoup",1000,2,4,40
2421,"Birdzs",1000,1,2,33
2436,"Dori-a",1000,2,4,40
785,"Kajdak",1000,5,13,36
1190,"Usend Licrua",1000,6,16,35
814,"Jehnee",999,1,3,25
129,"Shin Garou",995,2,5,33
981,"obsidian AN",994,3,7,38
1908,"Knockoff Metaknight",993,4,9,40
807,"JemZ",992,3,6,43
869,"ponychamp",991,1,3,25
660,"TheGrandGuardian",989,1,3,25
178,"SKELE",989,2,5,33
2533,"Bingus_Goose",989,1,3,25
2364,"TrinityLatte",989,1,3,25
961,"YouDontKnowMe",989,4,10,36
817,"Iki",988,3,7,38
589,"AFilthyCasual",987,0,1,0
231,"UltraSomeone125",986,7,15,44
170,"BananaBear",985,9,18,47
350,"LoJay",985,6,12,46
2426,"Puppies",985,1,3,25
1164,"Carracoastal",985,3,7,38
1271,"Green",984,2,5,33
2180,"Drakath V.",984,1,3,25
1039,"Murfykiddo",984,1,3,25
870,"RedSmile",983,3,7,38
388,"Dieselweasel",982,9,25,35
1294,"Batsy <3",982,2,5,33
2412,"UnityAlex",982,1,3,25
2263,"Kuapastok",982,1,3,25
2395,"Belgus",982,1,3,25
1708,"ALiteralWatermelon",981,4,10,36
2284,"Another Day",981,1,3,25
552,"FeBruh",981,20,39,50
2388,"Danvevo",981,6,15,38
1692,"TheZebra",980,3,7,38
2452,"Lehmspielt",979,1,3,25
2405,"termineitor",979,1,3,25
1632,"Abot",979,0,1,0
934,"Shaggy",979,4,10,36
149,"Sinnamonsters",978,5,12,38
1684,"Alomamola",978,1,3,25
399,"Bozo",977,62,124,50
2080,"SlabOfLime",976,2,5,33
2269,"SilverFox",976,1,3,25
1160,"seabasstime",975,3,7,38
185,"leykeyhai",973,5,11,50
484,"PotionSeller",973,1,3,25
639,"SpinyKingCrab",972,0,1,0
1071,"avrg21",972,1,3,25
2535,"jef_the_fish",972,1,3,25
2208,"soup",972,4,10,36
618,"Chimser",971,8,18,42
2197,"Espresso!",971,1,3,25
1127,"Sly",971,0,1,0
1370,"Iriomote",971,4,9,40
338,"Bitoless",970,3,7,38
1148,"Misindru",970,4,9,40
2429,"Astraha",970,1,3,25
1038,"KaGra",970,1,3,25
